1mm,m1,1mm,m2,2mm,m1,2mm,m2,3mm,m1,3mm,m2
x,y,x,y,x,y,x,y,x,y,x,y
-19,176.5,16.5,12,-35,163.5,59,41,-46,165,33,27
-17,170,-21.5,34,-49.5,162.5,49,38.5,-48,163.5,31.5,23
-21,170,24.5,41,-37.5,161.5,73,36.5,-47,160,37.5,21.5
-23.5,170,18,19,-36,159,34,35,-44.5,160,53,21.5
-22,168,-25,21,-40,155,53,28,-45,157.5,23,19.5
-23,166.5,-27.5,20.5,-46.5,155,27,27,-44,154,29,19.5
-17,165,-8.5,18,-33,154.5,24,25,-42,152.5,29,17.5
-22.5,159,-21.5,9,-36,154,26,22,-40,150,26,17.5
-18,158,30,13,-51,153.5,30,21,-52.5,148.5,38.5,11
-14.5,155,32.5,8,-36,152.5,35.5,16,-51,146.5,42,8